,col
416,This was so easy to set up and get started. It has what we wanted and has yet to be stumped on a question. Voice activation has a great reach. So far it has been fun and educational. Bought it during the discount and has been worth it. Went between this and an Echo. most things I have is Google oriented and went with this.
417,This product is very responsive to voice commands providing relevant information just when it is needed. Google Home has a high-quality speaker that delivers clear sound at all volumes. Google Home is both information utility and 'toy.'  It was easy to setup. We had it out of the box and working in less than ten minutes.
418,"I had already bought an echo, but but it's terrible at answering general knowledge questions.  Google Home is much better.at that, but cannot pair with my Bluetooth home theater for music."
419,"but not enough things to do with it so far.  I'm using it with IFTTT to control my WEMO and for that it is good.  It also answers more questions than the nearest competitor and can interpret spoken language better. Google needs to catch up to the other lady, A........a in applications though."
420,"Unfortunately,  it responds with alot of ""I'm sorry, I can't help you with that yet"".  Got it to impress my husband who still lives in the stone ages, fail!"
421,"I use the GH to make internet inquiries, keep my calendar, and am connected to the Nest thermostat. I have not moved to the remote lights yet. Still need more product applications, like security, tv, and appliances."
422,The product itself looks good and would be fun to use but you need to have it connected to your wifi in order for it to work.  We were unable to connect to the Comcast router so it's going back.   It's disappointing but there's no immediate answers as to what the problem is.
423,"I own the Alexia and 3 dots, but I thought I would give Google a try.
I should have waited until Google actually supports anything worth while. 
Yes using IFTTT you can make Google work with some devices, but out of the box it's pretty lame.
No native support for Wink hubs or harmony hubs means I will be sticking with my Alexia for now."
424,When I bought this I realized it was new and didn't have as much to offer as Amazon Echo but I figured that would quickly change. What I didn't expect was that the Home doesn't hear my voice well. With volume set at six  I can stand close and scream and not be heard. I returned Home and bought and Echo.
425,Really do like this It was a great thing to buy for my husband who has dementia He can find out what day date and weather in on question
426,"I decided to get this Google Home after I had the Amazon Echo.  There is a lot of overlap in uses for these two, but only the Google device allows you to utilize all the cool lookup power of Google.  If you enjoy having Google voice recognition on your phone, you will love having this in your home."
427,"Haven't had so much technological fun in a long time. Google Home has become a member of the family -- way smarter than my wife and me. Has answers most of the time, but, when no answer almost always indicates the she's working on it. ""Yet"" is a big word. I've been spreading the word among friends and family. Lots of takers...."
428,"We're very happy with our Google Home.  It's easy to set up and you can start using it right away.  We especially like the ""add to shopping list"" feature which downloads a list to your phone.  I didn't know much about it when I ordered but I'm glad I did.  The in-store pick up at Walmart was fabulous!"
429,"This is an awesome product, bought for my husband for Christmas and he uses all the time and my son(7) loves it, when he doesn't know how to pronounce a world when reading he spells it to Google and she tells him the word and definition. My daughter(4) loves to ask Google to tell her jokes!"
430,"We have an Echo Dot from Amazon but we're a Google family.  This device plays our music, reads our books to us, turns our lights on and off and more.  We're still learning all that Google Home can do for us and so far, it's a very convenient tool to have in the house."
431,"The product works just as expected. We are thrilled with it. Most importantly, although I am not a frequent shopper of Walmart, this item was out of stock and it arrived sooner than expected for pick up. The woman at the pick up counter was friendly and helpful. Well done Walmart."
432,"Bought the Google Home for my husband.  He just loves it, was easy to set up and can get information on just about everything.  He loves the music feature and the news and weather of the day, as well as all other things you can ask it. Great product for the money."
433,I was amazed at how easy it was to set up. I was also surprised at how much even my younger grandkids enjoyed it. It very accurately understands your requests. The music selection is nice even if you don't sign up for the subscription service. I bought ten of these as presents and everyone is really enjoying them.
434,"Very easy to set up.  Lots of fun and also convenient when having a disgreement about something.  Google Home will solve it by just asking the question about the disagreement and she has the answer.  As for Walmart, received the product extremely fast and exactly what was ordered."
435,This product is awesome! It's user friendly and easy to use!...it does take some work from you...creating playlists...connecting to smart devices...but we've already had hours of fun just asking it questions!...great tech addition to any household!...two thumbs up great family fun!
436,"This is a fun little creature! I get a kick out of asking certain questions and am impressed at how fast she can answer. Apparently there are quite a few actions she can not give info on at this time. I am guessing as time goes on, there will be more and more added to improve things."
437,"Some times its not responding, it hears me when I called it, and the light respond but it will shut off without responding even not saying that it did not understand me.
cannot recognize or gives the full supports in my region (United Arab Emirates), it wont play music in my region."
438,I really love this Google Home Item. I love it so much I had bought my husband one for Christmas. And it was the best thing going I thought so we purchased another one on line before everyone gets hip and they are hard to find. WE LOVE IT!!!!!!!!!!!!!!
439,"Still learning how to communicate, but it works great for most things we've tried. Example, she couldn't fathom the Howard Hugs connection to the Spruce Goose and date of it's first flight. Google had the info, but she couldn't get it. May have been semantics issue."
440,"We were able to get the Google Home from WalMart when it was not available at other stores.  This allowed us to get our son the perfect Christmas gift.  He loves technology and as Google Home gets more advanced he will be able to do new things  daily.

Thank you!"
441,I love google and I love the idea of this but there is a hardware issue that HAS TO BE WORKED OUT before you buy. The mic stops working within days or a week. Look online. Search for Google Home Mic Static. Thousands of people are having to return their units.
442,"Excellent and Practical!   Great for the hard to gift person -- or if you have kids and/or for seniors.  Its like opening a browser and searching Google, but instead of reading your search, she verbally responds to your request.    Cool gadget!  Highly recommend!"
443,This one is for my living room. I have already one in my kitchen. Together with chromecast audio the google home is an awesome multiroom sound system. Sold my sonos system and havent looked back since. Great for home automation aswell. Im very happy about my purchase.
444,"Loving Google Home and Goggle Cast (tv).  Always turned on at home for any music we requested, Google knows and information be it fun or informative Google knows!!

Great gift for the both of us.

Ofie and Sev"
445,"this has prevented many arguments in our house.  My husband and I use to banter back and forth about different facts.  Now, we just ask Google. if you are married or if you have children,get it! it will stop a lot of arguments and bring peace to your home."
446,"The commerials show that you can do all kinds of things with the google home. But they don't tell you , you must spend hundreds more to get them to do these things. I was very disapionted. And two of my friends took theirs back."
447,I have enjoyed the product and it has saved me a lot of time. Great price and delivered promptly!
448,"Has potential but not quite there yet.  The device can certainly benefit  of more smarts.  I want to be able to tell google home to play my music on my Bose SoundTouch in a specific room (living room, bedroom or wherever).  It can't even tell me what movies are playing near me."
449,Having a lot of FUN and ORGANIZING our hectic lives with our Google Home !!!   She learns and teaches us new things everyday !!!   Looking forward to learning with her and cannot wait until she integrates more with Google systems and more !!!
450,I originally purchased Alexia and was not happy. She cant do what Google home can. I sent her back and purchased Google Home and could not be happier.
451,"I haven't learn a lot so far and I don't have a smart house, but it has been very helpful. Spelling words for me, telling me the temperature, playing games with it and talking back and forth and some times she will answer. Fun!"
452,"I purchased this devise for my husband and son for Christmas. I was not sure how they would like it. They are both very ""techie"" and I was a bit hesitant buying something like this for them. They both just loved it. I recommend this product."
453,"The Google Home is great.  I'm glad they finally came out with a competitor for the Amazon Echo.  Once Google allows more third-party integration, the Google Home will be much better than the Echo.  As it stands, the Echo has more native integration with smart devices."
454,Very convenient voice recognition tool that helps me cast netflix services and music directly from the unit. Wouldn't trade it for any other device on the market.
455,"I got this after I got frustrated by Alexa's inability to answer simple ""google"" questions. 

Its still missing some abilities but should get better with future updates. 

They need to enable the ability to change the ""ok Google"" trigger term to something shorter and easier."
456,"Bought this as Christmas present for the family. Like that it is white, instead of black like Echo. 
So easy to play music by just requesting it. The speakers are high quality.  
Not a necessity but a fun easy addition to your life!"
457,So much fun! Awesome technology. Surprisingly small.
458,"From the moment we plugged it in, the fun began. I actually felt sorry for Ms.Google...from questions about everything and listening to all types of music, it's a wonder she didn't shut down.
I would recommend this to everyone."
459,"Google home as an assistant and a speaker is as good as amazon echo but cuz echo is way earlier than google home they have devoloped much more skills and support 
Where the google home is released more than ten months now there no new skills or support for it"
460,We just got this little gadget for Christmas.  It was very easy to set up and the sound that comes out of it is AMAZING!! We love our music and this really delivers great sound. Ask it anything - it is totally awesome! We love it!
461,"Device works great. Setup was pretty straight forward.
Since Google is sort of new to Smart Things I had to do some trial and error to get my first devices (lights) to work. 
I'm sure as Google goes forward they will expand to become leaders in the Smart World!"
462,I love my google home
463,I purchased this as a gift to my son and his family. They rave about this product . They absolutely love it. My grandchildren can not wait to get back to school so they can put google home to the test with homework assignments.
464,It's completely unnecessary but a fun little thing to have around. I'm finding uses for it and will add accessories to control lights and TV. I'd buy it again.
465,"Got this at a Black Friday low price. Simple to set up, extremely reactive, so far the whole family is having fun with it, and we are hoping google comes out with a line of integrated accessories (wall / light plugs etc), n the future."
466,"Love it. The only thing I would
Like to see is it make a call or text someone.. but I'm sure it will come later since this is new and they will see what people need and want. But I do love it and use it everyday..."
467,"It's a lot of fun and you can obtain a lot of info, useful & fun!!!! Our grandkids just 
love it, and you can't believe the questions they ask!  (It also teaches us about 
our grandkids!)"
468,"I like this product it's really good and the speakers are great, will use it a lot for music, and getting information we need,"
469,"Wow, ask it a question and it gives you an answer. Ask for a specific song or best of a decade and it's done. It's like having a best friend always in the house, only you really don't have to entertain."
470,I bought the Google Home for my wife for Xmas. It has worked great so far. I believe once more features get added to the system it will get even better. I would definitely recommend this to anyone. Especially for the price.
471,Excellent. Responds very well. Google says they will be updating their database on this device.
472,a good starting place to get your google on. fun to do voice searches and have only just begun to integrate into home automation systems. it'll be a lot easier to just say turn off the lights rather than to find my phone or tablet to do the same.
473,"Great product, great sound, great automation."
474,I did a lot of research before deciding to by the Google Home.    It is just as good as all the reviews that I read on it.  It is easy to set up and simple to use.  I would recommend this to anyone of any age.
475,Bought this as a birthday gift for my so in-law.  He loves it and do my grandchildren.  Definitely worth the money
476,"The recipient had never seen or heard of this product, or other products like it.  Therefore she was really excited once she set it up and started using it.   It definitely was a HIT!"
477,Google Home works terrific!
478,I love it
479,"You need a android device or smart phone to activate.  I only have a Kindle Fire which does not support Google apps. And yes, not everyone in the world has a cell phone. Will have to  return as it was a gift for my son."
480,"My Dad is blind and has been using the Amazon Echo for over a year and found the Search lacking.

The Google Home really excels in voice Search.  And it provides detailed voice answers.  Overall he says the Google Home is his top pick."
481,I love this speaker nice and loud l. Ypu habe to talk to it for a while so it can answer your question appropriately.  It doesn't do well woth children voices.
482,"I stream music to my sound bar in my tv now more than I ever did. It's not perfect, but does an excellent job at abating l answering random questions. It's alot of fun!"
483,This Google Home is Awesome!  when you play music it has enough bass to sound great. you can play trivia and mad lips and you can ask it pretty much anything. you will never want to be without your google assistant
484,Worked great for a few days. Then for no apparent reason it would not play music when requested or would only play one song or two then stop. Very dissatisfied with this product. Don't buy.
485,"It's my right arm, any music I want plus"
486,"For example, Google Home only reads off one calendar and Google Keep isn't able to be used yet. These need to be implemented to be as effective as possible."
487,"Had it for a week and think it's great. Can't figure out how to get it to play podcasts but besides that we love asking it for daily news, play music and other fun things!"
488,Love my Google Home.  It has brought music back to our lives.  We love the DJ aspect.  Attached to blue tooth speakers by Google Chromocast Audio.  The entire house rocks.
489,Works great
490,Works as advertised. Answers more questions than other smart home devices. Can control other chromecast.com devices. Great Product!
491,My wife loves this
492,"voice control of the house is the next big thing, Google has done a pretty good job with this. It doesn't quite do all the things the Amazon one does just yet but if you use IFTTT you can do a lot."
493,My husband is enjoying all of his favorite music by simply asking for it! The speakers are so clear! Throw any question at Goigleand it's answered right awAy! Love it!!!!!
494,"Just like the OK Google function in my Android phone, Google phone answers questions, plays music on request, and with adjuncts, can control home appliances, lights, etc. Fun toy to have and interact with."
495,"Great speaker. Some voice commands do not work. Cannot make to do list, add to calendar, or message people. Chromecast voice commands are difficut. Wish did not have to say okay google for every request"
496,Read every review I could find before buying.  Just waiting for the day when I can add items on my shopping list directly to Walmart Grocery.  That would make me REALLY happy!  Very satisfied.
497,Love this for background music and the occasional question. Has some glitches in connecting to pandora some times but all in all cool
498,"I expected something great, the Google Home is what I'm expecting for this kind of item. Now I need to buy more smart things (bulbs, switches, keyless deadbolt ...) to use it at 100%."
499,No problem with setting it up. It has to have an access to internet and that's the only  thing required from a user. I like it very much and the only thing could be  added text messaging capability.
500,"It has been fun getting to know how to use Google Home. It does have some limitations; however, I believe Google will rectify these items over time."
501,I bought the Google home for my wife for Christmas and she absolutely loves it. It is amazing the amount of information you can get by simply saying Ok Google.
502,".Connected to my nest, chromecast, philips hue and of course Netflix and YouTube red.. can't complain. My 7 yr old daughter enjoy playing trivia and story creation.."
503,Purchased this as a Xmas gift. My son in law requested this and they love. I also purchased a Google gift card for them so they have access to more apps.
504,"I was surprised at how much Google Home knows.  My grand kids spend hours with it asking for music and jokes. 
btw: The jokes are kinda corny,"
505,"Its awsome my husband has ordered more for our room upstairs my mother in law was at aww with it, know she wants one please please order great great product"
506,It only syncs to one calendar apparently but hopefully an upgrade will occur soon so don't have to buy new product BUT the rest ion the google home is great!!
507,This is amazing! Google home can hear you from a distance. Only bad thing is that it's hard to connect to other devices if they aren't also new; like a tv.
508,"Just for the music alone it's worth it.  I was able to play music I have not heard in years.
It has access to so much information.  It's a regular encyclopedia.  I would like one in every room."
509,I wish it was compatible with my Iris smart hub...  it's wired all through my house. But it's a good thing to have if your a googler like myself.
510,This thing is so much fun and endless possibilities.  The sound is just amazing. Great value for the money
511,Purchased for a gift and enjoyed watching grandkid's experience with the product.
512,"Functionality is limited - she OFTEN ""does not know how to help with a that yet"""
513,This is a good speaker with decent sound qualities that is connected to your Wi-Fi. The added bonus is that as updates continue it will become functional with the other services
514,This does not measure up to Amazon's Alexa-based products yet.  The music selection is very limited and usually results in a mix that may contain one or 2 songs from the requested artist.
515,Still learning how to use it but it has been great to ask to hear something and hear it without searching and clicking. It's our new favorite toy.
516,"Great for me and my 84 year old mom! She can ask for sums,  etc.,  so she won't have to use arthritic fingers on a calculator!   Love requesting facts!"
517,"Love Google Home! Easy to set up and use. Wish I could link it to more than 1 google account, but that wouldn't keep me from buying it."
518,I really love it! I didn't know that google home came with 6 free months of YouTube red ! They really plugged it .
519,"Good price.  Very good gift.  Google still needs to make it provide more info, but it is almost just as good as the Amazon Echo."
520,overall helpful but a lot of Google.com not available on home when we ask simple questions. hope google corrects this
521,I bought this for my dad for Christmas and he claims it is the best gift he ever got. He loves it! Very user friendly and fun!
522,"Easy set-up,  good sound.  First practical use was asking it for a ham glaze recipe.  It didn't hesitate a bit.  Easily synced to Google Calendar."
523,"Will not play music. google says it's playing music from Pandora and nothing plays. 
other than that we have enjoyed it so far."
524,"While we enjoyed the product at first, it stopped worked after day 2. Still trying to get it replaced. Undetermined review."
525,"So far we love our GoogleHome.  She gives us the news, weather, scores, random trivia questions, adjusts our smart lights when we ask her, she's the total package!"
526,"Performed as expected and advertised. Doesn't know or have all the answers, but is entertaining.  I wish we would have tried it sooner."
527,"Some may think this is just another must have for grown ups, but I love it. It has some learning to do, it won't take long if u know Google."
528,when asking questions I am surprised how fast this thing is.  Don't have any devices connected to it yet. Work in progress.
529,Great Product
530,Does everything I expected from it.
531,"Quick easy pickup when ordering online. Love the google home! I am going to get one for the home, that one was a gift."
532,I ordered this item online for my son and had it shipped to his home.  It arrived ahead of schedule and he loves it.
533,"Fun product to have to utilize all ""Google"" options as well as to listen to music!  Still has some quirks to work out re calendar status hence only 4 instead of 5 stars."
534,Love love Google Home!!  She gives us the morning weather and top news!!! My kids love to ask her math questions!!!
535,I wish it did a few more things. Knowing Google more will come in time. I am still learning to speak so it understands me
536,Recommend.  It's a little pricy but my daughter is happy with it.  Super easy to purchase on line and pick up in store.
537,"Wow, what fun you can have with the Google Home.  Great music and the sound out of the little box is great.  Go get one......"
538,Very useful. Hey Google that is always on and available.
539,So far ...great....we love them.  They were sent to us packaged perfectly! Thank you ??
540,My purchase is a Christmas gift.  It is wrapped and the box has not been opened.  I bought on a Black Friday deal and the price was good and a very quick delivery.
541,It works great! Love it! I bought it for a friend for Christmas and now I am going to get one for myself!!!
542,"very easy to use, a lot of people we know have or want one, wife & grandkids love it"
543,Waste of money. I  have an app on my IPad that does the same thing for less money.
544,little smarter than Alexa as far as information goes there's not a whole lot more to say than   it's very good when you need information
545,The abilities of this little device are endless!  Best investment for my retired parents. They love it!!
546,A gift for my son.  He loves it.
547,"Reason for a 4 and not a 5 rating.  Google home is great, it is still in the learning stage.

I bought 3  for my family.

Google Home is fun and entertaining."
548,"I love it, the sound is clear and loud.  I also love the design, blends in with my decor."
549,Item works well as expected.
550,The set up for this device is not compatible with Kindle Fire.  Returned it because of this situation.
551,I love it and I know it will only get better as google start to update it.
552,I gave this to my Dad for Christmas. He absolutely loves it and so does all his friends that come over.
553,Google Home is very easy to set up. Fun but helpful technology that is a great addition to the home.
554,Only had a few week's not sure if you have to pay for music yet. As far as questions we have asked excellent
555,It was very easy to set up and it's so convenient. it is always ready to go and can answer any question.
556,I bought this cause i use the google search engine on my phone all the time but it doesnt work very good for questions.
557,Got this for my husband for Christmas.   The whole family is enjoying it.  It's awesome!
558,Great value for the money. Would highly recommend  this. Very easy to use
559,Nice to have around the house to answer questions and play music. May hook up to home lighting system.
560,Bought Google Home as Christmas gift for adult daughter.  She loves it!
561,There are many things I like about it but it was very disappointing that I can not Bluetooth with my phone!
562,"If you are already part of the Google ecosystem, then this is a great addition. It's capable now, and getting better with every update."
563,"We use it to set alarms for reminders to take medicine, etc."
564,Everyone uses it for music or weather updates or even to tell a joke.
565,"Easy to download app to your cell phone. So many things, music, news, information etc..."
566,the whole family enjoys the google home!
567,My family loves this new technology.  It has many uses and works great in the kitchen where we gather.
568,This is a fun product to have in the house.  Great audio and pretty simple to use.
569,"Same as before need help
No instructions on what to do to get it working, when your old it hard"
570,My wife has more fun learning how  to use google home and she claims it a better listener them I am.
571,Whole family loves it.. still learning new things I can do with it everyday
572,It took 4 people and 2 calls to xfinity and 4 days to get this item to work.
573,Works great. Fun to play with and learn from.  Just waiting for new updates  now for cool stuff.
574,I bought two for Christmas gifts and both people love them!!!
575,"Excellent product, fun, informative, works well"
576,A new technical invention that does EVERYTHING it claims it will do!  Amazing (I'm an engineer)!  Walmart has the best price.
577,We got this for our parents for Christmas and they loved it!
578,love the product and the ease at which I bought and picked up from walmart !!!
579,I like that I have the ability to get answers response quickly without looking it up.
580,Great product
581,Christmas Present to my daughter.  She loves it!!!
582,This was a gift for my son and he is very pleased.
583,I use it for music everyday and even ask it random questions.
584,Great item.  My favorite xmas present by far
585,"Plays music, sets timers, adds items to my shopping list. Answers all kinds of questions. How did I ever manage without it?"
586,"No Drama...easy to order, and simple to receive."
587,Excellent product. Need to be fairly specific with your question.
588,Google Home doesnt always understand the command. But its VERY entertaining!
589,Very good product and even better experience with Walmart in picking it up.
590,Hope google brings in more updates and connect with more apps and devices. I recommend it better than Alexa
591,Have only had a couple weeks but so far I am pleased with it....
592,Very neat to have in your home you will enjoy it
593,We've been using it about a week now and I love it!  I cant wait to see what updates they come up with.
594,Neat device. Good sound and voice recognition. With development of additional skills will become a must have assistant.
595,No problems with set up and works well. Great for getting information on weather and about anything you can google.
596,No need to fight a crowd just purchase online 4 quick and easy pickup
597,This thing is great... I can't wait until they expand.
598,"Stuck on ""I'm sorry. I don't have that information""."
599,Everyone took turns talking to google! Very informative and entertaining!
600,Amazing anything you want to know answered in 5 seconds or less!
601,Got information instantly
602,Great addition to your home. Easy to set up and use. It's like having your own personal assistant !
603,Data base is fairly large.  Gives us info and a good laugh
604,I love my google home....... so much fun.......    And very intelligent!!
605,My kids like it
606,Have Android Samsung phone and use Google all the time.  Anxious to use this and access Google more often!
607,The whole family loves it.  Was a great purchase!
608,Works great. Very informative and Entertaining
609,Does what it's suppose to do!
610,I got this for my husband for Christmas and he is enjoying it.
611,"Great addition to my home. Just ask about the weather, news sports or play any song. I love it."
612,It wasn't for me it was a gift to a friend so far it works great!
613,Love the Google Home and it was super easy to make the purchase.
614,We love the Google home. It has an awesome sound system!
615,it works great you just need to learn how to talk to it properly. with new memory updates it will fantastic
616,"Google Home keeps you organized, informed, educated and you can have fun also."
617,Good
618,AWESOME AWESOME . It does everything and can answer all things.
619,I'm having trouble downloading the app. Every time I try it takes me to purchase the item ...
620,Daughters say they work great and very pleased
621,Kids are having so much fun with it!
622,"I bought this as a present, so I don't know how the product works, but seems like an awesome gift"
623,This is a great product
624,Gave it to my boyfriend for christmas and he loves it!
625,Great product!  Very fun to have in the house!
626,Also given as a gift and was received well.
627,It set up fast and easy. Has been a continual source of both information and entertainment.
628,Great tool for learning and daily knowledge!
629,Due to my enthusiasm I have multiple friends and co-workers buying this for their homes!!!
630,The hole family has been enjoying the Google home.
631,Very nice product
632,Great product and very useful.
633,Enjoying learning all that it can do.  OK google!
634,"Great item , very fun!"
635,Can't say anything yet -giving As a gift-but price was reasonable
636,Item seems to have promise but needs an update with new features.  Many missing features.
637,Useful and looking forward to more things Google Home will be able to do in the future.
638,Google Home is working out perfectly for us.  We bought three of them and they're great.
639,Fits beautifully with my Amazon Echo to make my home into the Starship Enterprise.
640,Worth the money enjoy the functions
641,"We enjoy the music, weather reports for wherever we want, answer to questions, & jokes."
642,Better than Alexa (echo)
643,It's still learning but very fun.
644,Nice product very helpful
645,Awesome...love it
646,Both sons love this product!
647,just got but was easy to get started and already added entertainment to the family.
648,"Fun, easy to use."
649,Similar tasks as Siri. Good sound. Music and other useful and fun info. at voice command.
650,Makes life easier!
651,"Worked really well!
And even more if you have IoT and IFTTT or apps like that."
652,Works great. I love it. The kids love it.  Best Christmas gift ever.
653,Works as described. AAAA
654,Works great
655,Its nice play songs tells weather and traffic. ...call HEY GOOGLE!!
656,Worked great and very interesting
657,It does what it says it will do. Thank you Google Home.
658,We love iit!
659,Husband loves it!!
660,Gave as a gift and he loves it!
661,We gave these to our employees as a holiday gift and was a big hit!
662,Works as advertised speaker sounds very good . Voice command works well.
663,loved this purchase. would recommend to a friend.
664,"Love it ,it is the best"
665,"Google Home works great, and is easy to set up. Recommend!"
666,I truly enjoying it
667,Excellent purchase.
668,Fun and informative! Linked with my Spotify and have all my play lists!
669,It is able to answer almost anything you can search in google
670,Works well and now becoming part of daily life :)
671,I really like this item.  Especially the price!
672,Works like a charm
673,Google Home
674,Set up was quick and easy.  My granddaughter loves it!
675,Great
676,love to use at night to fine tunes for sleep
677,Great love this
678,Great product meet all expectations.
679,Works great
680,perfect for our home
681,"I love my Google Home 
Does better than Amazons one they have"
682,nice product
683,Google knows all.
684,Quick to hook up simple.
685,love it!
686,google home great for the kid to ask questions
687,It's Google - What else do you need to know.
688,Hassle free sale with very fast shipping.
689,"Great fun,  every day learning more"
690,Love my google home
691,Will get better in time as Google updates software
692,Great for children to ask questions and learn.
693,it work excellent
694,Love it and the sound is great! Got it on sale too
695,Lots of fun. Will add accessories soon.
696,It's a gift for my sister
697,A nice gift for anyone on your list
698,My son loves it
699,Great sound  system over youtube music.
700,Going to be fun for whole family
701,Doesn't do as much as I  thought
702,Can't beat the price!!!
703,Will definity enjoy this product.
704,Awesome service and product
705,NICE SIZE WITH ALOT OF BASS
706,Great gift for a tech person.
707,easy to set up. easy to use.
708,By it
709,Worth the money.
710,I like it better than Alexa
711,This device is amazing!
712,Love it
713,Excellent
714,Great Item
715,Great sound.
716,Nice.
717,kids love it
718,Love it
