,title,review,date,yes,no
209,Seems Google Search Supresses Negative Feedback,"Not worth it.  Okay, so I don¡¯t understand those complaining about difficulties with voice recognition and set up challenges.  My guess is user error.  My complaint is that once the novelty wears off (the day after the return policy expires) there¡¯s not much value.   The search results give either a long winded answer, answer to everything but what you asked, or none at all.  Surprisingly no answer at all is typical.  The games are lame.  Playing music is okay but the sound quality after lowering the volume just sounds muffled like someone placed a towel over it.  

MY BIGGEST COMPLAIINT AFTER ONE YEAR OWNERSHIP:  I set two daily alarms to remind me to take my medicine.  It worked great and I never missed a pill.  The meds are done but THE ALARMS WILL NOT STOP. This is not user error.  I previously had daily alarms that I successfully canceled.  There must have been an ¡®upgrade¡¯ and/or software change.  Who knows? What I do know is that these darn alarms go off.  EVERYDAY.  I¡¯ll say ¡°okay Google, cancel all daily alarms¡¯ and it¡¯ll confirm that all alarms are canceled.  I¡¯ll immediately ask ¡°okay Google, what alarms do I have?¡¯  It¡¯ll confirm that no alarms are pending.  The very next dog gone day the same alarms go off. 

HERE IS MY SECOND BIGGEST COMPLAINT THAT SHOULD BE FIRST:  When I use the Google search for user complaints about Google Home.....all of the top results are from Google and how amazing this product is.  All consumer complaints are suppressed.  The one time Bing is useful is to search for Google complaints...go figure.  From Bing  I have others with similar complaints and said a factory still didn¡¯t fix the problem.  The alarms seem to be linked through the user profile not the actual device.

Save yourself time, money, and frustration and just an extra five seconds to take your phone out of your pocket.  Meanwhile I¡¯ll be unplugging this listening device from my home because privacy is key.",12/12/2017,(0),(0)
210,So happy to finally have one!,Being able to ask Google questions or for it to turn on music is the best. As soon as I have a question I can ask it without trying to find my phone and take the time focus search for it myself.,12/7/2017,(0),(0)
211,,Works great. Got for my elderly dad who can't use Internet very well,12/11/2017,(0),(0)
212,,"a lot more fun and useful than i thought it would be. bought it for my wife, she loves it.",12/10/2017,(0),(0)
213,,It¡¯s plays all the music I love when I ask,12/11/2017,(0),(0)
214,Great gift for yourself or others,"Cheaper than Alexa and definitely better at answering your random questions, Google Home is a great assistant if you don't mind that it looks like an air freshener. The lights are actually pretty cool and you can use ""Hey Google"" as opposed to ""OK Google"" as your trigger.",1/7/2017,(2),(0)
215,Love Google Home,So far my family is loving google home. My kids use it more then the adults. It is very kid friendly and im suprised that it is able to understand them.,12/7/2017,(0),(0)
216,Great tool,Easy to set up and use.,12/11/2017,(0),(0)
217,,I love this. Now I have my  personal  assistant lol,12/10/2017,(0),(0)
218,,Easy to use. Convenient.,12/11/2017,(0),(0)
219,,It is so easy to set up and use.  It sits on the counter in the kitchen and doesn¡¯t take up much room.  I especially love asking google to play music constantly.  This device is fantastic.,12/5/2017,(0),(0)
220,Works with all my stuff.,"Constantly improving tech, works with all my home applications and sounds terrific when I use it to play music.  What's not to like?",12/7/2017,(0),(0)
221,Knows who's talking to it.,"Responses tailored to the voice that it hears!  When my wife asks for her agenda her calendar is accessed.  When I ask, my calendar is accessed.",12/6/2017,(0),(0)
222,Go for the Mini except for music,"Decent audio and gets quite loud. However, I don't know that it's worth the premium over the Mini. If you don't listen to music on it a lot the Mini would be the better choice.",12/5/2017,(0),(0)
223,,A decent sounding speaker but ultimately redundant with the Android phone in my pocket.,12/8/2017,(0),(0)
224,,I enjoyed the way Google home works.  It was very nice to know I could change it from a women voice to a man voice,12/7/2017,(0),(0)
225,Really Loved!,Really loved. The ability to connect with your chromecast it's awesome!. First time i feel i own an SmartTV,12/7/2017,(0),(0)
226,"Easy, fun and useful",Very easy to use.  Google Home answers questions accurately even with a lot of background noise and multiple people talking.  Responses are fast too.,12/5/2017,(0),(0)
227,"Great product , i live it more than Alexa",I love this one. Makes my life so much easier,12/8/2017,(0),(0)
228,So helpful...on a daily basis,I love my Google Home.  I have had a lot of fun with it.,12/8/2017,(0),(0)
229,Good stuff,It's a good product that works as advertised,12/8/2017,(0),(0)
230,Love it!,easy to use!  Not a very tech savvy guy but this was easy to set up and fun to use.  Love the random and fun facts it tells you.,12/5/2017,(0),(0)
231,,Very handy. Gives  info without having to look it up.  Wide variety of music . Schedule reminders.,12/6/2017,(0),(0)
232,Google Home,Good purchase does what I need. Useful information.,3/3/2017,(2),(0)
233,,It's use full in many ways,12/8/2017,(0),(0)
234,Gift for wife,She likes it,12/9/2017,(0),(0)
235,Great product,"Is a great product, works as it should. Easy to set up and synch with my Google profile.",12/6/2017,(0),(0)
236,,"there is a learning curve,  what all can you ask?
where do you find any help",12/6/2017,(0),(0)
237,I like it!,"Very cool.  Sound is beautiful, and it is a lot of fun to play with.",12/6/2017,(0),(0)
238,Awesome,Ease if use and helpfulness!,12/7/2017,(0),(0)
239,,So easy and fun,12/7/2017,(0),(0)
240,Good buy!,"Yes,we play Trivia,Music,keep a shopping list.",12/6/2017,(0),(0)
241,Great Buy,it is a functional speaker and has good quality sound. fun and interactive.,12/5/2017,(0),(0)
242,Awesome price,Not sure how it works yet. Bought this for a Christmas gift. Price was awesome though. Thanks for the deal,12/4/2017,(0),(1)
243,Fun for kids,Lots of I'm still learning answers,12/6/2017,(0),(0)
244,,Works great learning all the tine,12/6/2017,(0),(0)
245,,I love everything about it!,12/6/2017,(0),(1)
246,Potential,This is a nice and emerging technology. There are thijgs that Google should have done before release. They mentioned that you can add things to uiur calen but it is not available yet. Theu should have waited to release it and made sure all features were avao at launch. Overall it is a fun device that adds a Bluetooth speaker to your home or office. The commands are simple and it is responsive. The microphone works at a good distance. There are games and one of the best features is working with other devices in the home such as lighting and your tv with Chromecast.,11/26/2016,(5),(4)
247,,Easy to set up and use.,12/6/2017,(0),(0)
248,Great Product,Great product easy to set-up,12/6/2017,(0),(0)
249,Great prouct,"Everything! It's such a fun toy! Great sound system to play music during parties, great toy to play with my other Google toy.",12/3/2017,(0),(1)
250,,Fun device operates many home features,12/5/2017,(0),(0)
251,Google Home,"A little hard to setup because my IPhone was out of date to log into Google to get the App needed.
It would have been helpful to know the equipment requirements before purchase.",12/17/2016,(2),(0)
